"jarfile","release"
pdfbox-3.0.5.jar,2025-05-01
ambari-views-2.0.0.0.jar,2015-04-07
cassandra-all-5.0.4.jar,2025-04-10
cxf-rt-frontend-jaxws-4.1.2.jar,2025-05-16
flink-core-2.0.0.jar,2025-03-19
flink-streaming-java-2.0.0.jar,2025-03-19
flink-table-api-java-bridge-2.0.0.jar,2025-03-19
hadoop-common-3.4.1.jar,2024-10-18
hadoop-hdfs-3.4.1.jar,2024-10-18
hadoop-mapreduce-client-core-3.4.1.jar,2024-10-18
hbase-client-2.6.3.jar,2025-07-10
hbase-common-2.6.3.jar,2025-07-10
hbase-server-2.6.3.jar,2025-07-10
hibernate-core-7.0.7.Final.jar,2025-07-23
hive-common-4.0.1.jar,2024-10-02
hive-jdbc-4.0.1.jar,2024-10-02
hive-metastore-4.0.1.jar,2024-10-02
hive-service-4.0.1.jar,2024-10-02
iotdb-jdbc-2.0.4.jar,2025-07-09
iotdb-server-2.0.4.jar,2025-07-09
iotdb-session-2.0.4.jar,2025-07-09
jena-core-5.5.0.jar,2025-07-18
kudu-client-1.18.0.jar,2025-07-07
kudu-spark2_2.11-1.13.0.jar,2020-09-17
kudu-test-utils-1.18.0.jar,2025-07-07
log4j-core-2.25.1.jar,2025-07-11
maven-core-3.9.11.jar,2025-07-15
openjpa-4.1.1.jar,2025-05-19
pig-0.17.0.jar,2017-06-15
solr-core-9.9.0.jar,2025-07-24
solr-solrj-9.9.0.jar,2025-07-24
spring-context-7.0.0-M7.jar,2025-07-17
spring-web-7.0.0-M7.jar,2025-07-17
struts2-core-7.0.3.jar,2025-03-03
tika-core-3.2.1.jar,2025-07-09
wicket-core-10.6.0.jar,2025-07-12
zookeeper-3.9.3.jar,2024-10-24
